title,brand,lowestAsk,lowestAskSize,numberOfAsks,salesThisPeriod,highestBid,highestBidSize,numberOfBids,annualHigh,annualLow,deadstockRangeLow,deadstockRangeHigh,volatility,deadstockSold,pricePremium,averageDeadstockPrice,lastSale,salesLast72Hours,changeValue,changePercentage,totalDollars,deadstockSoldRank,pricePremiumRank,averageDeadstockPriceRank,missingData
adidas Yeezy Boost 350 V2 Static,adidas,250,4,3814,1216,556,16,1101,1483,222,267,279,0.021487,11668,0.241,285,273,1216,16,0.062257,3321119,37,98,79,False
adidas Yeezy Boost 350 V2 Sesame,adidas,240,9,1728,479,490,16,660,899,186,224,256,0.065245,18050,0.091,263,240,479,-8,-0.033858,4755208,26,55,20,False
Jordan 11 Retro Concord (2018),Jordan,246,14,2432,418,280,12.5,806,500,206,256,274,0.033161,26574,0.205,283,265,418,14,0.055777,7532205,11,5,49,False
adidas Yeezy 700 V2 Static,adidas,374,7,904,393,703,15,822,3500,300,365,405,0.052315,2782,0.283,412,385,393,-15,-0.0375,1146342,62,0,31,False
adidas Yeezy Boost 350 V2 Cream/Triple White,adidas,225,9,1818,391,391,17,396,865,190,212,268,0.115561,31215,0.091,281,240,391,10,0.040982,8784850,23,81,31,False
adidas Yeezy Boost 350 V2 Semi Frozen Yellow,adidas,242,9,2370,359,411,14,660,1400,210,239,259,0.041538,12067,0.132,350,249,359,-11,-0.042324,4219026,15,47,74,False
adidas Yeezy Boost 350 V2 Butter,adidas,200,8,1727,328,352,16,333,800,177,227,249,0.046954,42293,0.082,271,238,328,23,0.106977,11456118,89,42,45,False
adidas Yeezy Boost 350 V2 Zebra,adidas,295,4,1444,327,700,16,751,1200,250,295,315,0.031331,33517,0.386,343,305,327,-25,-0.075758,11512142,27,97,14,False
Jordan 1 Retro High Spider-Man Origin Story,Jordan,226,15,1118,308,460,7.5,2218,550,199,210,330,0.223622,13830,0.688,287,270,308,-16,-0.055944,3972511,20,41,47,False
adidas Yeezy 700 Mauve,adidas,265,10.5,1506,295,725,16,417,1575,200,233,267,0.069894,12978,-0.167,301,250,295,-24,-0.087591,3908399,51,92,23,False
adidas Yeezy 500 Salt,adidas,218,14,1195,265,515,16,545,5000,175,191,269,0.171152,9478,0.15,267,230,265,10,0.045455,2532217,58,86,48,False
Jordan 1 Retro High Rookie of the Year,Jordan,180,13,1179,224,310,3.5,734,800,146,170,220,0.127331,18564,0.219,246,195,224,-42,-0.177215,4573703,60,26,63,False
adidas Yeezy Wave Runner 700 Solid Grey,adidas,365,14,1369,202,1050,16,682,2000,291,359,413,0.069064,41002,0.287,436,386,202,-24,-0.058537,17889604,4,72,19,False
Air Force 1 Low Off-White Volt,Nike,350,4,608,191,550,12.5,819,1000,250,376,412,0.045759,3067,1.318,389,394,191,-14,-0.034314,1192489,61,37,73,False
Air Force 1 Low Off-White Black White,Nike,410,4.5,523,146,601,8.5,1051,850,300,453,587,0.129443,3119,2.059,495,520,146,110,0.268293,1542715,49,35,72,False
adidas Yeezy 500 Utility Black,adidas,295,14,389,145,500,15,439,1000,190,361,387,0.035486,22117,0.87,285,374,145,4,0.010811,6309142,62,79,16,False
Jordan 1 Retro High Spider-Man Origin Story (GS),Jordan,217,7Y,513,136,321,5Y,489,371,146,162,262,0.233646,7181,0.767,213,212,136,-100,-0.320513,1527062,2,64,78,False
Nike Zoom Fly Off-White Black Silver,Nike,244,4,580,129,335,12.5,603,650,215,303,351,0.074474,4375,0.924,316,327,129,87,0.3625,1382581,10,86,6,False
Converse Chuck Taylor All-Star 70s Hi Off-White,Converse,250,5.5,481,119,301,9,562,1100,186,315,377,0.088167,9601,1.662,314,346,119,28,0.08805,3015258,42,33,49,False
Nike Zoom Fly Off-White Pink,Nike,232,10.5,502,118,300,7,291,583,210,280,342,0.100182,4444,0.829,272,311,118,74,0.312236,1206788,31,43,40,False
Jordan 1 Retro High Off-White University Blue,Jordan,700,14,905,110,1200,17,535,3680,430,678,924,0.153672,18125,3.216,851,801,110,-4,-0.004969,15418571,20,66,30,False
