brand,colorway,gender,name,title,releaseDate,retailPrice,belowRetail,shoe,missingData
adidas,Static/Static/Static,men,Static,adidas Yeezy Boost 350 V2 Static,2018-12-27 23:59:59,220,False,adidas Yeezy Boost 350 V2,False
adidas,Sesame/Sesame/Sesame,men,Sesame,adidas Yeezy Boost 350 V2 Sesame,2018-11-23 23:59:59,220,False,adidas Yeezy Boost 350 V2,False
Jordan,White/Black-Concord,men,Concord (2018),Jordan 11 Retro Concord (2018),2018-12-08 23:59:59,220,False,Jordan 11 Retro,False
adidas,Cream White/Cream White,men,Cream/Triple White,adidas Yeezy Boost 350 V2 Cream/Triple White,2017-04-29 23:59:59,220,False,adidas Yeezy Boost 350 V2,False
adidas,Semi Frozen Yellow/Raw Steel/Red,men,Semi Frozen Yellow,adidas Yeezy Boost 350 V2 Semi Frozen Yellow,2017-11-18 23:59:59,220,False,adidas Yeezy Boost 350 V2,False
adidas,White/Core Black/Red,men,Zebra,adidas Yeezy Boost 350 V2 Zebra,2017-02-25 23:59:59,220,False,adidas Yeezy Boost 350 V2,False
adidas,Static/Static/Static,men,Static,adidas Yeezy 700 V2 Static,2018-12-29 23:59:59,300,False,adidas Yeezy 700 V2,False
Jordan,Gym Red/Black-White-Photo Blue,men,Spider-Man Origin Story,Jordan 1 Retro High Spider-Man Origin Story,2018-12-14 23:59:59,160,False,Jordan 1 Retro High,False
adidas,Mauve/Mauve/Mauve,men,Mauve,adidas Yeezy 700 Mauve,2018-10-27 23:59:59,300,True,adidas Yeezy 700,False
adidas,Salt/Salt/Salt,men,Salt,adidas Yeezy 500 Salt,2018-11-30 23:59:59,200,False,adidas Yeezy 500,False
Jordan,Golden Harvest/Black-Sail,men,Rookie of the Year,Jordan 1 Retro High Rookie of the Year,2018-11-17 23:59:59,160,False,Jordan 1 Retro High,False
adidas,Solid Grey/Chalk White/Core Black,men,Solid Grey,adidas Yeezy Wave Runner 700 Solid Grey,2017-11-01 23:59:59,300,False,adidas Yeezy Wave Runner 700,False
Jordan,Gym Red/Black-White-Photo Blue,child,Spider-Man Origin Story (GS),Jordan 1 Retro High Spider-Man Origin Story (GS),2018-12-14 23:59:59,120,False,Jordan 1 Retro High,False
Nike,Black/White-Cone-Black,men,Off-White Black White,Air Force 1 Low Off-White Black White,2018-12-19 23:59:59,170,False,Air Force 1 Low,False
Nike,Volt/Hyper Jade-Cone-Black,men,Off-White Volt,Air Force 1 Low Off-White Volt,2018-12-19 23:59:59,170,False,Air Force 1 Low,False
adidas,Utility Black/Utility Black/Utility Black,men,Utility Black,adidas Yeezy 500 Utility Black,2018-07-07 23:59:59,200,False,adidas Yeezy 500,False
Nike,Black/White-Cone,men,Off-White Black Silver,Nike Zoom Fly Off-White Black Silver,2018-10-13 23:59:59,170,False,Nike Zoom Fly,False
adidas,Butter/Butter/Butter,men,Butter,adidas Yeezy Boost 350 V2 Butter,2018-06-30 23:59:59,220,True,adidas Yeezy Boost 350 V2,False
Converse,White/Bold Orange-Black,men,70s Hi Off-White,Converse Chuck Taylor All-Star 70s Hi Off-White,2018-10-08 23:59:59,130,False,Converse Chuck Taylor All-Star,False
Nike,Wolf Grey/Multi-Color,men,Playstation Wolf Grey,Nike PG 2.5 Playstation Wolf Grey,2018-12-01 23:59:59,110,False,Nike PG 2.5,False
Nike,Tulip Pink/Racer Pink,men,Off-White Pink,Nike Zoom Fly Off-White Pink,2018-11-28 23:59:59,170,False,Nike Zoom Fly,False
Jordan,White/Dark Powder Blue-Cone,men,Off-White University Blue,Jordan 1 Retro High Off-White University Blue,2018-06-23 23:59:59,190,False,Jordan 1 Retro High,False
adidas,Grey/Bold Orange/Dark Grey,men,Beluga 2.0,adidas Yeezy Boost 350 V2 Beluga 2.0,2017-11-25 23:59:59,220,False,adidas Yeezy Boost 350 V2,False
Nike,Black/Black,men,Black,Air Fear Of God 1 Black,2018-12-15 23:59:59,395,False,Air Fear Of God 1,False
Jordan,Black/Medium Grey-White,men,Shadow (2018),Jordan 1 Retro High Shadow (2018),2018-04-14 23:59:59,160,False,Jordan 1 Retro High,False
adidas,Blue Tint/Grey Three/High Risk Red,men,Blue Tint,adidas Yeezy Boost 350 V2 Blue Tint,2017-12-16 23:59:59,220,False,adidas Yeezy Boost 350 V2,False
Jordan,White/Black-Varsity Red-Wolf Grey,men,Union Los Angeles Black Toe,Jordan 1 Retro High Union Los Angeles Black Toe,2018-11-17 23:59:59,190,False,Jordan 1 Retro High,False
Jordan,Black/Court Purple-University Red,men,Raptors,Jordan 4 Retro Raptors,2018-08-18 23:59:59,200,False,Jordan 4 Retro,False
Jordan,University Blue/Black-Varsity Red,men,Travis Scott Cactus Jack,Jordan 4 Retro Travis Scott Cactus Jack,2018-06-09 23:59:59,225,False,Jordan 4 Retro,False
Nike,Voltage Purple/Voltage Purple,men,Concepts Purple Lobster,Nike SB Dunk Low Concepts Purple Lobster,2018-12-14 23:59:59,130,False,Nike SB Dunk Low,False
Jordan,Black/Fire Red-Cement Grey-White,men,Black Cement (2018),Jordan 3 Retro Black Cement (2018),2018-02-17 23:59:59,200,True,Jordan 3 Retro,False
adidas,Running White/Running White/Running White,men,Running White,adidas Ultra Boost 4.0 Running White,2017-11-30 23:59:59,180,True,adidas Ultra Boost 4.0,False
Jordan,Sail/Black-Varsity Red,men,"Not for Resale" Varsity Red,Jordan 1 Retro High "Not for Resale" Varsity Red,2018-11-07 23:59:59,160,False,Jordan 1 Retro High,False
Jordan,Black/University Red-White,men,Homage To Home (Non-numbered),Jordan 1 Retro High Homage To Home (Non-numbered),2018-05-19 23:59:59,160,False,Jordan 1 Retro High,False
Jordan,Gym Red/Black-Summit White,men,Bred Toe,Jordan 1 Retro High Bred Toe,2018-02-24 23:59:59,160,False,Jordan 1 Retro High,False
adidas,Blush/Blush/Blush,men,Blush,adidas Yeezy 500 Blush,2018-02-16 23:59:59,200,False,adidas Yeezy 500,False
Jordan,Game Royal/Black-Summit White,men,Game Royal,Jordan 1 Retro High Game Royal,2018-03-24 23:59:59,160,False,Jordan 1 Retro High,False
Nike,White/Black-Cone,men,Off-White White (2018),Air Presto Off-White White (2018),2018-08-03 23:59:59,160,False,Air Presto,False
Jordan,White/Storm Blue-Varsity Red-Black,men,Union Los Angeles Blue Toe,Jordan 1 Retro High Union Los Angeles Blue Toe,2018-11-17 23:59:59,190,False,Jordan 1 Retro High,False
Jordan,White/Black-Fire Red-Cement Grey,men,Tinker Hatfield,Jordan 3 Retro Tinker Hatfield,2018-03-24 23:59:59,200,True,Jordan 3 Retro,False
adidas,Static/Static/Static,men,Static,adidas Yeezy Boost 350 V2 Static,2018-12-27 23:59:59,220,False,adidas Yeezy Boost 350 V2,False
adidas,Sesame/Sesame/Sesame,men,Sesame,adidas Yeezy Boost 350 V2 Sesame,2018-11-23 23:59:59,220,False,adidas Yeezy Boost 350 V2,False
Jordan,White/Black-Concord,men,Concord (2018),Jordan 11 Retro Concord (2018),2018-12-08 23:59:59,220,False,Jordan 11 Retro,False
adidas,Cream White/Cream White,men,Cream/Triple White,adidas Yeezy Boost 350 V2 Cream/Triple White,2017-04-29 23:59:59,220,False,adidas Yeezy Boost 350 V2,False
adidas,Semi Frozen Yellow/Raw Steel/Red,men,Semi Frozen Yellow,adidas Yeezy Boost 350 V2 Semi Frozen Yellow,2017-11-18 23:59:59,220,False,adidas Yeezy Boost 350 V2,False
adidas,White/Core Black/Red,men,Zebra,adidas Yeezy Boost 350 V2 Zebra,2017-02-25 23:59:59,220,False,adidas Yeezy Boost 350 V2,False
adidas,Static/Static/Static,men,Static,adidas Yeezy 700 V2 Static,2018-12-29 23:59:59,300,False,adidas Yeezy 700 V2,False
Jordan,Gym Red/Black-White-Photo Blue,men,Spider-Man Origin Story,Jordan 1 Retro High Spider-Man Origin Story,2018-12-14 23:59:59,160,False,Jordan 1 Retro High,False
adidas,Mauve/Mauve/Mauve,men,Mauve,adidas Yeezy 700 Mauve,2018-10-27 23:59:59,300,True,adidas Yeezy 700,False
adidas,Salt/Salt/Salt,men,Salt,adidas Yeezy 500 Salt,2018-11-30 23:59:59,200,False,adidas Yeezy 500,False
Jordan,Golden Harvest/Black-Sail,men,Rookie of the Year,Jordan 1 Retro High Rookie of the Year,2018-11-17 23:59:59,160,False,Jordan 1 Retro High,False
adidas,Solid Grey/Chalk White/Core Black,men,Solid Grey,adidas Yeezy Wave Runner 700 Solid Grey,2017-11-01 23:59:59,300,False,adidas Yeezy Wave Runner 700,False
Jordan,Gym Red/Black-White-Photo Blue,child,Spider-Man Origin Story (GS),Jordan 1 Retro High Spider-Man Origin Story (GS),2018-12-14 23:59:59,120,False,Jordan 1 Retro High,False
Nike,Black/White-Cone-Black,men,Off-White Black White,Air Force 1 Low Off-White Black White,2018-12-19 23:59:59,170,False,Air Force 1 Low,False
Nike,Volt/Hyper Jade-Cone-Black,men,Off-White Volt,Air Force 1 Low Off-White Volt,2018-12-19 23:59:59,170,False,Air Force 1 Low,False
adidas,Utility Black/Utility Black/Utility Black,men,Utility Black,adidas Yeezy 500 Utility Black,2018-07-07 23:59:59,200,False,adidas Yeezy 500,False
Nike,Black/White-Cone,men,Off-White Black Silver,Nike Zoom Fly Off-White Black Silver,2018-10-13 23:59:59,170,False,Nike Zoom Fly,False
adidas,Butter/Butter/Butter,men,Butter,adidas Yeezy Boost 350 V2 Butter,2018-06-30 23:59:59,220,True,adidas Yeezy Boost 350 V2,False
Converse,White/Bold Orange-Black,men,70s Hi Off-White,Converse Chuck Taylor All-Star 70s Hi Off-White,2018-10-08 23:59:59,130,False,Converse Chuck Taylor All-Star,False
Nike,Wolf Grey/Multi-Color,men,Playstation Wolf Grey,Nike PG 2.5 Playstation Wolf Grey,2018-12-01 23:59:59,110,False,Nike PG 2.5,False
Nike,Tulip Pink/Racer Pink,men,Off-White Pink,Nike Zoom Fly Off-White Pink,2018-11-28 23:59:59,170,False,Nike Zoom Fly,False
Jordan,White/Dark Powder Blue-Cone,men,Off-White University Blue,Jordan 1 Retro High Off-White University Blue,2018-06-23 23:59:59,190,False,Jordan 1 Retro High,False
adidas,Grey/Bold Orange/Dark Grey,men,Beluga 2.0,adidas Yeezy Boost 350 V2 Beluga 2.0,2017-11-25 23:59:59,220,False,adidas Yeezy Boost 350 V2,False
Nike,Black/Black,men,Black,Air Fear Of God 1 Black,2018-12-15 23:59:59,395,False,Air Fear Of God 1,False
Jordan,Black/Medium Grey-White,men,Shadow (2018),Jordan 1 Retro High Shadow (2018),2018-04-14 23:59:59,160,False,Jordan 1 Retro High,False
adidas,Blue Tint/Grey Three/High Risk Red,men,Blue Tint,adidas Yeezy Boost 350 V2 Blue Tint,2017-12-16 23:59:59,220,False,adidas Yeezy Boost 350 V2,False
Jordan,White/Black-Varsity Red-Wolf Grey,men,Union Los Angeles Black Toe,Jordan 1 Retro High Union Los Angeles Black Toe,2018-11-17 23:59:59,190,False,Jordan 1 Retro High,False
Jordan,Black/Court Purple-University Red,men,Raptors,Jordan 4 Retro Raptors,2018-08-18 23:59:59,200,False,Jordan 4 Retro,False
Jordan,University Blue/Black-Varsity Red,men,Travis Scott Cactus Jack,Jordan 4 Retro Travis Scott Cactus Jack,2018-06-09 23:59:59,225,False,Jordan 4 Retro,False
Nike,Voltage Purple/Voltage Purple,men,Concepts Purple Lobster,Nike SB Dunk Low Concepts Purple Lobster,2018-12-14 23:59:59,130,False,Nike SB Dunk Low,False
Jordan,Black/Fire Red-Cement Grey-White,men,Black Cement (2018),Jordan 3 Retro Black Cement (2018),2018-02-17 23:59:59,200,True,Jordan 3 Retro,False
adidas,Running White/Running White/Running White,men,Running White,adidas Ultra Boost 4.0 Running White,2017-11-30 23:59:59,180,True,adidas Ultra Boost 4.0,False
Jordan,Sail/Black-Varsity Red,men,"Not for Resale" Varsity Red,Jordan 1 Retro High "Not for Resale" Varsity Red,2018-11-07 23:59:59,160,False,Jordan 1 Retro High,False
Jordan,Black/University Red-White,men,Homage To Home (Non-numbered),Jordan 1 Retro High Homage To Home (Non-numbered),2018-05-19 23:59:59,160,False,Jordan 1 Retro High,False
Jordan,Gym Red/Black-Summit White,men,Bred Toe,Jordan 1 Retro High Bred Toe,2018-02-24 23:59:59,160,False,Jordan 1 Retro High,False
adidas,Blush/Blush/Blush,men,Blush,adidas Yeezy 500 Blush,2018-02-16 23:59:59,200,False,adidas Yeezy 500,False
Jordan,Game Royal/Black-Summit White,men,Game Royal,Jordan 1 Retro High Game Royal,2018-03-24 23:59:59,160,False,Jordan 1 Retro High,False
Nike,White/Black-Cone,men,Off-White White (2018),Air Presto Off-White White (2018),2018-08-03 23:59:59,160,False,Air Presto,False
Jordan,White/Storm Blue-Varsity Red-Black,men,Union Los Angeles Blue Toe,Jordan 1 Retro High Union Los Angeles Blue Toe,2018-11-17 23:59:59,190,False,Jordan 1 Retro High,False
Jordan,White/Black-Fire Red-Cement Grey,men,Tinker Hatfield,Jordan 3 Retro Tinker Hatfield,2018-03-24 23:59:59,200,True,Jordan 3 Retro,False
Jordan,Gym Red/Black-White,men,Win Like 96,Jordan 11 Retro Win Like 96,2017-12-09 23:59:59,220,False,Jordan 11 Retro,False
Jordan,Black/Dark Concord-White,men,Space Jam (2016),Jordan 11 Retro Space Jam (2016),2016-12-10 23:59:59,220,False,Jordan 11 Retro,False
Jordan,Black/Metallic Gold-Summit White,men,Patent Gold Toe,Jordan 1 Retro High NRG Patent Gold Toe,2018-02-10 23:59:59,160,False,Jordan 1 Retro High NRG,False
Converse,Black/Black,men,70s Hi Fear of God Black,Converse Chuck Taylor All-Star 70s Hi Fear of God Black,2018-11-04 23:59:59,None,False,Converse Chuck Taylor All-Star,False
Nike,Black/White-Cone,men,Off-White Black (2018),Air Presto Off-White Black (2018),2018-07-27 23:59:59,160,False,Air Presto,False
adidas,White/Pink/Yellow,men,Pharrell Solar Pack Mother,adidas NMD Hu Pharrell Solar Pack Mother,2018-08-18 23:59:59,250,True,adidas NMD Hu,False
adidas,Super Moon Yellow/Super Moon Yellow/Super Moon Yellow,men,Super Moon Yellow,adidas Yeezy 500 Super Moon Yellow,2018-06-09 23:59:59,200,False,adidas Yeezy 500,False
Jordan,Black/Varsity Royal-White,men,Royal (2017),Jordan 1 Retro Royal (2017),2017-04-01 23:59:59,160,False,Jordan 1 Retro,False
Nike,White/Total Orange-Black,men,Off White 2018,Air Vapormax Off White 2018,2018-04-14 23:59:59,250,False,Air Vapormax,False
Jordan,White/True Red-Black,men,He Got Game (2018),Jordan 13 Retro He Got Game (2018),2018-08-04 23:59:59,190,False,Jordan 13 Retro,False
Jordan,Black/Black-Starfish-Sail,women,Satin Shattered Backboard (W),Jordan 1 Retro High Satin Shattered Backboard (W),2018-05-05 23:59:59,160,False,Jordan 1 Retro High,False
Nike,Light Blue Fury/Lemon Wash,men,Sean Wotherspoon (Extra Lace Set Only),Air Max 1/97 Sean Wotherspoon (Extra Lace Set Only),2018-03-26 23:59:59,160,False,Air Max 1/97,False
adidas,Core Black/Core Black/Core Black,men,Calabasas Core Black,adidas Yeezy Powerphase Calabasas Core Black,2018-03-17 23:59:59,120,True,adidas Yeezy Powerphase,False
Nike,White/University Red-Neutral Grey-Black,men,Anniversary Red (2017/2018 Restock Pair),Air Max 1 Anniversary Red (2017/2018 Restock Pair),2017-09-21 23:59:59,140,True,Air Max 1,False
Jordan,Summit White/Clay Green-Black,men,Clay Green,Jordan 1 Retro High Clay Green,2018-05-01 23:59:59,160,False,Jordan 1 Retro High,False
Nike,Sail/Sail-Gum Light Brown,men,Travis Scott Sail,Air Force 1 Low Travis Scott Sail,2018-08-10 23:59:59,150,False,Air Force 1 Low,False
Jordan,Medium Grey/White-Gunsmoke,men,Cool Grey,Jordan 11 Retro Low Cool Grey,2018-04-28 23:59:59,175,True,Jordan 11 Retro Low,False
Nike,Wheat/Sport Red-Bison-Classic Green,men,Atmos Animal Pack 2.0 (2018 All Black Box),Air Max 1 Atmos Animal Pack 2.0 (2018 All Black Box),2018-03-17 23:59:59,160,False,Air Max 1,False
adidas,White/Black/Orange,men,Pharrell Solar Pack Orange,adidas NMD Hu Pharrell Solar Pack Orange,2018-08-18 23:59:59,250,True,adidas NMD Hu,False
Jordan,White/True Blue-Varsity Red,men,True Blue (2016),Jordan 3 Retro True Blue (2016),2016-11-25 23:59:59,220,False,Jordan 3 Retro,False
adidas,Black/Black/Black,men,Triple Black,adidas Ultra Boost 4.0 Triple Black,2017-11-30 23:59:59,200,True,adidas Ultra Boost 4.0,False
Jordan,White/University Blue-Midnight Navy,men,UNC Win Like 82,Jordan 11 Retro UNC Win Like 82,2017-11-11 23:59:59,220,False,Jordan 11 Retro,False
Jordan,Black/Infrared23-Black,men,Infrared Black (2014),Jordan 6 Retro Infrared Black (2014),2014-11-28 23:59:59,185,False,Jordan 6 Retro,False
Jordan,Black/Varsity Red-White,men,Bred "Banned" (2016),Jordan 1 Retro Bred "Banned" (2016),2016-09-03 23:59:59,160,False,Jordan 1 Retro,False
Jordan,Black/Black-Black,men,Levi's Black (Levi's Tag),Jordan 4 Retro Levi's Black (Levi's Tag),2018-06-30 23:59:59,225,False,Jordan 4 Retro,False
adidas,Core Black/Core Black/Red,men,Black Red,adidas Yeezy Boost 350 V2 Black Red,2017-02-11 23:59:59,220,False,adidas Yeezy Boost 350 V2,False
Jordan,White/Black-Varsity Red,men,Off-White Chicago,Jordan 1 Retro High Off-White Chicago,2017-09-09 23:59:59,190,False,Jordan 1 Retro High,False
Jordan,Summit White/Blue Moon-Black,men,Blue Moon,Jordan 1 Retro High Blue Moon,2018-05-01 23:59:59,160,False,Jordan 1 Retro High,False
Jordan,Orange Peel/Orange Peel,men,Gatorade Orange Peel,Jordan 1 Retro High Gatorade Orange Peel,2017-12-26 23:59:59,175,True,Jordan 1 Retro High,False
adidas,Core Black/Core Black/Core Black,men,Japan Triple Black,adidas NMD R1 Japan Triple Black,2017-08-11 23:59:59,180,False,adidas NMD R1,False
adidas,White/Black/Red,men,Pharrell Solar Pack Red,adidas NMD Hu Pharrell Solar Pack Red,2018-08-18 23:59:59,250,False,adidas NMD Hu,False
Jordan,White/True Red-Black,child,He Got Game 2018 (GS),Jordan 13 Retro He Got Game 2018 (GS),2018-08-04 23:59:59,140,False,Jordan 13 Retro,False
Jordan,Sail/White-Varsity Red-Reflect Silver,men,Nigel Sylvester,Jordan 1 Retro High Nigel Sylvester,2018-09-01 23:59:59,180,False,Jordan 1 Retro High,False
Jordan,White/Black-Legend Blue,men,Legend Blue (2014),Jordan 11 Retro Legend Blue (2014),2014-12-20 23:59:59,200,False,Jordan 11 Retro,False
Jordan,Bio Beige/Bio Beige-Camellia-Opti Yellow,men,JTH Bio Beige,Jordan 3 Retro JTH Bio Beige,2018-08-28 23:59:59,250,True,Jordan 3 Retro,False
Jordan,Hyper Royal/Sail-Hyper Royal,men,Hyper Royal,Jordan 1 Retro High Hyper Royal,2018-07-07 23:59:59,160,True,Jordan 1 Retro High,False
adidas,Core Black/Core Black/Footwear White,men,OG Black,adidas NMD XR1 OG Black,2017-05-20 23:59:59,150,False,adidas NMD XR1,False
adidas,Core Black/Red/Core Black,men,Core Black Red,adidas Yeezy Boost 350 V2 Core Black Red,2016-11-23 23:59:59,220,False,adidas Yeezy Boost 350 V2,False
Jordan,Black/Metallic Gold-White-Infrared 23,child,Heiress Black Stingray (GS),Jordan 11 Retro Heiress Black Stingray (GS),2017-11-24 23:59:59,220,True,Jordan 11 Retro,False
Jordan,Black/True Red-White,men,Bred (2017),Jordan 13 Retro Bred (2017),2017-08-19 23:59:59,190,True,Jordan 13 Retro,False
Jordan,College Navy/Amarillo,men,Michigan,Jordan 12 Retro Michigan,2018-06-23 23:59:59,225,False,Jordan 12 Retro,False
Jordan,Summit White/Yellow Ochre-Black,men,Yellow Ochre,Jordan 1 Retro High Yellow Ochre,2018-05-09 23:59:59,160,False,Jordan 1 Retro High,False
Nike,Dark Grey/Pure Platinum-Photo Blue,men,Dark Grey Photo Blue,Nike React Element 87 Dark Grey Photo Blue,2018-08-14 23:59:59,160,False,Nike React Element 87,False
Nike,Metallic Silver/Varsity Red-Black-White,men,Silver Bullet (2016/2017),Air Max 97 Silver Bullet (2016/2017),2016-12-14 23:59:59,170,False,Air Max 97,False
adidas,Footwear White/Footwear White/Footwear White,men,Japan Triple White,adidas NMD R1 Japan Triple White,2017-08-11 23:59:59,180,False,adidas NMD R1,False
Jordan,Black/Varsity Red-Varsity Royal,men,Top 3,Jordan 1 Retro Top 3,2016-11-28 23:59:59,160,False,Jordan 1 Retro,False
Jordan,Black/Varsity Red-White,men,Playoffs (2012),Jordan 11 Retro Playoffs (2012),2012-12-21 23:59:59,180,False,Jordan 11 Retro,False
adidas,Steeple Gray/Beluga/Solar Red,men,Beluga,adidas Yeezy Boost 350 V2 Beluga,2016-09-24 23:59:59,220,False,adidas Yeezy Boost 350 V2,False
Nike,Black/Total Crimson-Clear,men,Off-White Black,Air VaporMax Off-White Black,2018-03-30 23:59:59,250,False,Air VaporMax,False
Jordan,Sail/Sport Royal-Light Bone-Fire Red,men,International Flight,Jordan 3 Retro International Flight,2018-06-30 23:59:59,190,True,Jordan 3 Retro,False
Nike,Desert Sand/Cool Grey-Smokey Mauve,men,Desert Sand,Nike React Element 87 Desert Sand,2018-08-14 23:59:59,160,False,Nike React Element 87,False
Jordan,Black/Starfish-Sail,men,Shattered Backboard,Jordan 1 Retro Shattered Backboard,2015-06-27 23:59:59,160,False,Jordan 1 Retro,False
Nike,White/Cone-Ice Blue,men,Off-White,Air Max 97 Off-White,2017-11-01 23:59:59,190,False,Air Max 97,False
adidas,Core White/Core White/Core White,men,Calabasas Core White,adidas Yeezy Powerphase Calabasas Core White,2017-03-28 23:59:59,120,False,adidas Yeezy Powerphase,False
Nike,Bright Crimson/Multi-Color,men,Lucky Charms,Kyrie 4 Lucky Charms,2018-08-04 23:59:59,120,False,Kyrie 4,False
Jordan,Black/Black-Clear-Glow,men,Kaws Black,Jordan 4 Retro Kaws Black,2017-11-27 23:59:59,350,False,Jordan 4 Retro,False
adidas,White/Multi-Color,men,Ronnie Fieg,adidas Ultra Boost Mid Ronnie Fieg,2016-12-23 23:59:59,220,False,adidas Ultra Boost Mid,False
Nike,Medium Grey/Clear Jade-Black-White,men,Atmos Elephant (2017),Air Max 1 Atmos Elephant (2017),2017-03-18 23:59:59,150,False,Air Max 1,False
